Atlético	Atlética
Escuálido	Escuálida
Granoso	Granosa
Jorobado	Jorobada
Manco	Manca
Bello	Bella
Dientes deformes	Dientes deformes
Patizambo	Patizamba
Atractivo	Atractiva
Melenudo	Melenuda
Barbudo	Tetona
Lampiño	Velluda
Musculoso	Musculosa
Corpulento	Corpulenta
Miope	Miope
Pálido	Pálida
Moreno	Morena
Cuellicorto	Cuellicorta
Hermoso	Hermosa
Feo	Fea
Desagradable	Desagradable
Pulcro	Pulcra
Sucio	Sucia
Desaliñado	Desaliñada
Calvo	Calva
Flojo	Floja
Narigón	Narigona
Ojos saltones	Ojos saltones
Aguileño	Aguileña
Cara redonda	Cara redonda
Babeante	Babeante
Pecoso	Pecosa
Maloliente	Maloliente
Ojeroso	Ojerosa
Cojo	Coja
Robusto	 Robusta
Apuesto	 Apuesta
Sonriente	 Sonriente
Delgado	 Delgada
Graso	 Grasa
Rollizo	 Rolliza
Curtido	 Curtida
Inexpresivo	 Inexpresiva
Lagrimoso	 Lagrimosa
Sensual	 Sensual
Ceniciento	 Cenicienta
Esbelto	 Esbelta
Canijo	 Canija
Bizco	 Bizca
Cetrino	 Cetrina
Orejón	 Orejona
Bilioso	 Biliosa
Elegante	 Elegante
Entrecano	 Entrecana
Zurdo	 Zurda
Femenino	 Masculina
Radiante	 Radiante
