Abierto	Abierta
Activo	Activa
Adaptable	Adaptable
Adúltero	Adúltera
Afeminado	Marimacho
Alcohólico	Alcohólica
Ambicioso	Ambiciosa
Amigable	Amigable
Amoral	Amoral
Antipático	Antipática
Arrogante	Arrogante
Ascético	Ascética
Atento	Atenta
Ateo	Atea
Avaricioso	Avariciosa
Bueno	Buena
Buen orador	Buena oradora
Caballeroso	Caballerosa
Campechano	Campechana
Caótico	Caótica
Caritativo	Caritativa
Cascarrabias	Cascarrabias
Casto	Casta
Cobarde	Cobarde
Comprensivo	Comprensiva
Conservador	Conservadora
Controlador	Controladora
Cruel	Cruel
Cuidadoso	Cuidadosa
Dejado	Dejada
Depresivo	Depresiva
Descuidado	Descuidada
Digno de confianza	Digna de confianza
Discutidor	Discutidora
Distante	Distante
Enfermizo	Enfermiza
Engreído	Engreída
Envidioso	Envidiosa
Errático	Errática
Erudito	Erudita
Extraño	Extraña
Extrovertido	Extrovertida
Familiar	Familiar
Fiel	Fiel
Generoso	Generosa
Goloso	Golosa
Gorrón	Gorrona
Guarro	Guarra
Gracioso	Graciosa
Guerrero	Guerrera
Hablador	Habladora
Hogareño	Hogareña
Honesto	Honesta
Honorable	Honorable
Idealista	Idealista
Imprudente	Imprudente
Inculto	Inculta
Independiente	Independiente
Influenciable	Influenciable
Ingenuo	Ingenua
Inmoral	Inmoral
Insensible	Insensible
Inteligente	Inteligente
Intimidante	Intimidante
Introvertido	Introvertida
Juerguista	Juerguista
Liberal	Liberal
Libertino	Libertina
Limpio	Limpia
Loco	Loca
Lujurioso	Lujuriosa
Malhablado	Malhablada
Malhumorado	Malhumorada
Malvado	Malvada
Necio	Necia
Nervioso	Nerviosa
Obsesivo	Obsesiva
Orgulloso	Orgullosa
Oveja negra	Oveja negra
Paciente	Paciente
Patriota	Patriota
Perseverante	Perseverante
Persuasivo	Persuasiva
Pervertido	Pervertida
Pesado	Pesada
Piadoso	Piadosa
Poca cosa	Poca cosa
Prudente	Prudente
Regio	Regia
Religioso	Religiosa
Revolucionario	Revolucionaria
Rígido	Rígida
Risueño	Risueña
Sabio	Sabia
Saludable	Saludable
Secretivo	Secretiva
Simpático	Simpática
Sincero	Sincera
Sociable	Sociable
Taciturno	Taciturna
Terco	Terca
Tímido	Tímida
Torpe	Torpe
Traicionero	Traicionera
Tramposo	Tramposa
Tranquilo	Tranquila
Vago	Vaga
Valiente	Valiente
Vicioso	Viciosa
Vividor	Vividora
Abstemio	 Abstemia
